application_end_date;campus;chat_id;program;level;partner;price;plan_state;plan_rus;plan_foreign;format
08.Aug;Москва;-4147228289;Аналитика больших данных;master;carpov_courses;490;0;200;5;online
08.Aug;Москва;-1002099686965;Аналитика больших данных (чат с Карпов Курсы);master;carpov_courses;490;0;200;5;online
15.Sep;Москва;-972833656;Аналитика данных и прикладная статистика;master;no;440;0;110;3;online
08.Aug;Москва;-4749312259;Биоинформатика в агробиотехнологиях;master;no;490;15;15;0;online_part
08.Aug;Москва;-4046984274;Глобальные цифровые коммуникации;bachelor;no;500;0;155;6;online
08.Aug;Пермь;-4139485502;Дизайн;bachelor;no;420;0;400;7;online
15.Sep;Москва;-1002100789923;Инвестиции на финансовых рынках;master;no;440;0;120;1;online
15.Sep;Москва;-1001998842044;Инженерия данных;master;netology;470;0;150;5;online
15.Sep;Москва;-4171683633;Интерактивный дизайн;master;no;430;0;100;1;online
08.Aug;Москва;-613642779;Искусственный интеллект;master;no;520;0;350;5;online
08.Aug;Москва;-4198260355;Искусственный интеллект в маркетинге и управлении продуктом;master;no;490;0;160;5;online
15.Sep;Нижний Новгород;-688995997;Искусственный интеллект и компьютерное зрение;master;no;430;0;60;10;online
15.Sep;Пермь;-1002192951552;ИТ – юрист;master;no;380;0;70;2;online
15.Sep;Москва;-1001707182564;Кибербезопасность;master;netology;490;0;150;10;online
15.Sep;Москва;-1002670463110;Китайский язык в межкультурной бизнес-коммуникации;master;no;490;0;50;5;online
08.Aug;Москва;-772593583;Компьютерные науки и анализ данных;bachelor;no;550;0;150;10;online
15.Sep;Москва;-750161119;ЛигалТех;master;netology;440;0;60;1;online
15.Sep;Москва;WhatsApp;Магистр аналитики бизнеса;master;no;440;0;145;3;online
15.Sep;Москва;-1002216681454;Магистр по наукам о данных;master;no;490;0;200;20;online
15.Sep;Москва;-4186647978;Маркетинг - менеджмент;master;no;500;0;200;2;online
15.Sep;Москва;-1002500028103;Международный бизнес;master;no;510;0;60;10;online_part
15.Sep;Москва;-1002508354725;Педагогический дизайн: теория и практика обучения;master;no;390;0;55;3;online
08.Aug;Cанкт-Петербург;-1002562197059;Прикладная лингвистика: обучение иностранному языку и перевод в цифровой среде;master;no;330;0;50;1;online
08.Aug;Москва;-878424227;Прикладная социальная психология;master;no;440;20;5;2;online
08.Aug;Пермь;-4709453212;Программные системы и автоматизация процессов разработки;bachelor;netology;350;0;100;3;online
08.Aug;Cанкт-Петербург;-942218135;Проектирование и разработка высоконагруженных информационных систем;master;no;500;0;20;0;online
08.Aug;Москва;-4073830216;Психоанализ и психоаналитическая психотерапия;master;no;700;0;130;10;online_part
08.Aug;Москва;-1002573664656;Психоанализ и психоаналитическое бизнес-консультирование;master;no;800;0;165;10;online_part
08.Aug;Пермь;-4542263709;Управление бизнесом;bachelor;no;350;0;100;5;online
15.Sep;Москва;-4102964588;Управление в креативных индустриях;master;no;430;0;100;1;online
15.Sep;Москва;-4092316930;Управление инновационным бизнесом;master;no;410;0;160;10;online
15.Sep;Нижний Новгород;-892164059;Управление организациями и проектами;master;no;400;0;250;3;online
15.Sep;Москва;-1002035879507;Управление стратегическими коммуникациями;master;no;390;0;250;2;online
15.Sep;Москва;-1002070587931;Управление цифровым продуктом;master;no;500;0;200;5;online
15.Sep;Москва;-889355707;Финансы;master;no;440;0;150;3;online
15.Sep;Москва;-4602706028;Цифровая инженерия для компьютерных игр;master;no;400;0;55;1;online
15.Sep;Москва;-824212567;Цифровая урбанистика и аналитика города;master;no;440;0;55;5;online
15.Sep;Нижний Новгород;-4595042190;Цифровой маркетинг;master;no;370;0;150;0;online
08.Aug;Москва;-1002012887954;Экономический анализ (маг.);master;no;390;0;165;10;online
08.Aug;Москва;WhatsApp;Экономический анализ (бак.);bachelor;no;510;0;70;3;online
