program;level;price;plan_state;plan_rus;plan_foreign;format;income_percent;program_bitrix;tg_chat_id;campus;start_year;partner;early_invitation
Аналитика больших данных;master;620;0;300;5;online;50;АБД. Аналитика больших данных / Москва / 010402 Прикладная математика и информатика / факультет компьютерных наук / Магистратура;-4147228289;Москва;2024;Карпов Курсы;нет
Аналитика данных и прикладная статистика;master;560;0;105;3;online;100;АДиПС. Аналитика данных и прикладная статистика / Москва / 010402 Прикладная математика и информатика / факультет социальных наук / Магистратура;-972833656;Москва;2021;нет;да
Бэкенд-разработка и архитектура программных систем;master;610;0;200;;online;50;БЭКИ. Бэкенд-разработка и архитектура программных систем;;Москва;2026;Нетология;нет
Биоинформатика в агробиотехнологиях;master;700;15;15;0;online_part;100;БИОИНФ. Биоинформатика в агробиотехнологиях / Москва / 010402 Прикладная математика и информатика / Общий / Магистратура;-4749312259;Москва;2025;нет;да
Глобальные цифровые коммуникации;bachelor;580;10;42;4;online;100;ГЦК. Глобальные цифровые коммуникации / Москва / 420301 Реклама и связи с общественностью / факультет креативных индустрий / Бакалавриат;-4046984274;Москва;2024;нет;нет
Дизайн;bachelor;510;0;400;7;online;100;ДИЗБАК. Дизайн / НИУ ВШЭ Пермь / 540301 Дизайн / Факультет социальноэкономических и компьютерных наук / Бакалавриат;-4139485502;Пермь;2021;нет;нет
Инвестиции на финансовых рынках;master;580;0;150;1;online;100;ИФР. Инвестиции на финансовых рынках / Москва / 380408 Финансы и кредит / факультет экономических наук / Магистратура;-1002100789923;Москва;2023;нет;да
Инженерия данных;master;610;0;200;5;online;50;ИНЖДАН. Инженерия данных / Москва / 090404 Программная инженерия / факультет компьютерных наук / Магистратура;-1001998842044;Москва;2024;Нетология;да
Интерактивный дизайн;master;600;0;120;1;online;100;ИНТДИЗ. Интерактивный дизайн / Москва / 540401 Дизайн / факультет креативных индустрий / Магистратура;-4171683633;Москва;2024;нет;нет
Информационная безопасность систем искусственного интеллекта;master;610;0;50;;online;100;ИБСИИ. Информационная безопасность систем искусственного интеллекта;-4867774341;Москва;2026;нет;да
Искусственный интеллект;master;640;0;500;5;online;100;ИСКИНТ. Искусственный интеллект / Москва / 010402 Прикладная математика и информатика / факультет компьютерных наук / Магистратура;-613642779;Москва;2021;нет;да
Искусственный интеллект в маркетинге и управлении продуктом;master;590;0;250;5;online;100;ИИвМАРК. Искусственный интеллект в маркетинге и управлении продуктом / Москва / 010402 Прикладная математика и информатика / факультет компьютерных наук / Магистратура;-4198260355;Москва;2024;нет;да
Искусственный интеллект и компьютерное зрение;master;500;0;60;10;online;100;ИИиКЗ. Искусственный интеллект и компьютерное зрение / НИУ ВШЭ Нижний Новгород / 010402 Прикладная математика и информатика / Факультет информатики математики и компьютерных наук / Магистратура;-688995997;Нижний Новгород;2021;нет;нет
ИТ – юрист;master;480;0;100;2;online;100;ИТЮРИСТ. ИТ – юрист / НИУ ВШЭ Пермь / 400401 Юриспруденция / Магистерская школа / Магистратура;-1002192951552;Пермь;2024;нет;да
